epoch,accuracy,loss,val_accuracy,val_loss
0,0.3421874940395355,1.7315906286239624,0.574999988079071,1.260814905166626
1,0.5506250262260437,1.2376604080200195,0.7300000190734863,0.8454506397247314
2,0.6271874904632568,1.0294147729873655,0.7649999856948853,0.7551528811454773
3,0.6781250238418579,0.9235929250717164,0.7850000262260437,0.6276134252548218
4,0.7181249856948853,0.81898033618927,0.8050000071525574,0.576057493686676
5,0.731249988079071,0.7708958983421326,0.8149999976158142,0.5668849945068359
6,0.7406250238418579,0.7277767062187195,0.8100000023841858,0.5788062214851379
7,0.7590625286102295,0.6750980615615845,0.8399999737739563,0.4658993184566498
8,0.7671874761581421,0.6731361150741577,0.8500000238418579,0.4473014175891876
9,0.7790625095367432,0.6438696384429932,0.8650000095367432,0.3734912872314453
