epoch,accuracy,loss,val_accuracy,val_loss
0,0.5981249809265137,1.199457049369812,0.7225000262260437,0.8265236020088196
1,0.8115624785423279,0.6032975316047668,0.7574999928474426,0.6414330005645752
2,0.8571875095367432,0.45582541823387146,0.7850000262260437,0.5540772080421448
3,0.8765624761581421,0.3988279700279236,0.8125,0.48128750920295715
4,0.8887500166893005,0.35607996582984924,0.8774999976158142,0.3069303631782532
5,0.910937488079071,0.29110774397850037,0.8199999928474426,0.4727013111114502
6,0.9103124737739563,0.27720803022384644,0.8899999856948853,0.3088065981864929
7,0.9184374809265137,0.2536250054836273,0.875,0.2977754473686218
8,0.9353125095367432,0.21667911112308502,0.8525000214576721,0.3555145263671875
9,0.9284374713897705,0.2245808094739914,0.9125000238418579,0.2396254688501358
